Epoch,Loss,Training,Testing
1,0.019365225168240387,42.14221014492754,36.8055555555555634.717737172968285,31.85117967213511
2,0.015373956435978905,66.87047101449275,63.1944444444444436.192548252382025,35.887533702233966
3,0.011759682110315283,68.00271739130434,64.2361111111111137.69321431329446,37.674313990016415
4,0.01019130442308571,71.26358695652173,66.9270833333333437.70518977403944,36.956453437151495
5,0.009952282497196652,71.28623188405797,67.3611111111111137.37948004780729,36.71608420466189
6,0.009111326361991854,72.41847826086956,67.9687539.31846554386509,38.454244273461
7,0.008948356432176095,70.99184782608695,67.3611111111111137.43954248364136,36.99148271423625
8,0.008712127231109262,71.39945652173914,67.1006944444444437.60991620763363,36.663486837502546
9,0.008474253466323797,72.32789855072464,66.9270833333333439.158362157053446,37.78617912815715
10,0.008903109834731773,73.27898550724638,68.4027777777777939.46296937136749,38.06278951523181
11,0.007891505526414603,72.37318840579711,67.187539.7633418852018,38.36032685090155
12,0.007852140073105352,73.32427536231883,67.7083333333333440.05833676947983,38.49359300676867
13,0.007725200164247062,72.98460144927536,68.3159722222222139.12389334795228,37.855225392165806
14,0.00746002881407847,73.36956521739131,68.4895833333333439.12916525851307,37.84486523303718
15,0.007326654659620018,72.55434782608695,66.5798611111111140.10127762822127,38.233688713479495
16,0.007357791155802067,73.0072463768116,67.3611111111111140.11018422829149,38.53028159950523
17,0.007391269065227998,69.58786231884058,65.7986111111111136.13424008310426,35.5072463767442
18,0.007893096467806154,71.71648550724638,67.8819444444444437.777093269721405,37.17574668134318
19,0.007310298326963902,74.09420289855072,68.4895833333333440.07299854497733,38.177283762074
20,0.006972151220281882,73.95833333333334,68.6631944444444440.30582965719971,38.808674021116865
21,0.006923707200369629,74.23007246376811,68.0555555555555640.371603848916415,38.33533599948973
22,0.0069744451932684205,73.2336956521739,68.4027777777777939.11404814744395,37.73389570544651
23,0.007210597921739905,74.02626811594203,68.2291666666666640.26281896293009,38.53644833551545
24,0.006904602136145372,74.07155797101449,68.0555555555555640.419626552312415,38.49042372353331
25,0.0066828576030122586,71.69384057971014,66.4062539.849706065177116,38.59890109881421
26,0.007357985819292986,74.09420289855072,67.8819444444444440.36468808191472,38.22454420356686
27,0.006586733406476205,74.0036231884058,67.7083333333333440.38862382104253,38.241490706413586
28,0.006592492425283306,73.30163043478261,66.9270833333333440.30302427450782,38.422161442849344
29,0.0065234469456425725,74.07155797101449,68.7539.83342644853693,38.2523368438087
30,0.006693575275151911,74.07155797101449,68.1423611111111140.48918981393057,38.63282170225409
31,0.006551091857152068,71.89764492753623,67.4479166666666638.012206372842925,37.013563924598316
32,0.006687933990542327,73.50543478260869,67.7083333333333440.3964333935697,38.617639422589676
33,0.006777682707847312,73.98097826086956,67.9687540.31142477010654,38.40184465556815
34,0.0065175162971456806,74.47916666666666,68.4895833333333440.30790207539721,38.05209154366827
35,0.006307853141664693,74.02626811594203,68.6631944444444439.747794142581235,38.311011904683745
36,0.006627992369186758,73.89039855072464,68.2291666666666639.71357485668917,37.829335016759046
37,0.006773263127239989,74.41123188405797,68.5763888888888940.22644718814672,38.20225115798368
38,0.006303807582252076,74.27536231884058,67.7083333333333440.36737815474422,38.076675488083545
39,0.006416904199680639,74.4338768115942,68.1423611111111140.430307061731455,38.22233593761616
40,0.006297123318795869,74.36594202898551,68.0555555555555640.49168353259819,38.43812912581483
41,0.0061505885912561285,74.18478260869566,68.1423611111111140.369780599160684,38.29571154477209
42,0.006433650772714702,74.27536231884058,68.4027777777777940.1365740650121,38.19940476182676
43,0.006316017851192507,74.29800724637681,68.3159722222222140.46546892232207,38.43054860159398
44,0.006207314925140246,74.50181159420289,67.9687540.47663536468568,38.24821816585755
45,0.006222889957544893,74.18478260869566,67.9687540.413829278746526,38.23636910896765
46,0.006310415287748812,74.45652173913044,67.8819444444444440.51080976154845,38.10072815526107
47,0.006512913846100939,72.75815217391305,68.1423611111111138.66528184227309,37.45973843861056
48,0.006652149309486997,74.36594202898551,68.4027777777777939.966716667633484,37.757111138963836
49,0.006254211057909687,74.4338768115942,68.1423611111111140.59917979180165,38.434955262813105
50,0.006174808018093913,73.98097826086956,68.3159722222222139.47996305490372,37.700033513393194
51,0.006361067359951196,74.4338768115942,68.3159722222222140.25732958737313,38.08997570888205
52,0.006351998838998111,74.5697463768116,67.9687540.56704141755545,38.19817357463392
53,0.006273391297194632,74.72826086956522,68.4895833333333440.4602137110816,38.199016209147466
54,0.00609656216749131,73.18840579710145,66.8402777777777940.33469945352927,38.610372613053904
55,0.006116262738662068,74.0036231884058,67.5347222222222140.4843789977449,38.380945462388674
56,0.006162767941311453,74.34329710144928,67.9687539.96446129206521,37.799365023294115
57,0.006146798352518834,74.52445652173914,68.4895833333333440.23116386321702,38.08517194618209
58,0.005982728133799285,74.61503623188406,68.1423611111111140.564059224336205,38.37183234985464
59,0.0060901814008065035,74.34329710144928,68.4027777777777940.11802873412106,38.282440714016865
60,0.006463400295685455,73.73188405797102,68.2291666666666639.657637318701035,37.951435966889846
61,0.006309856214209722,74.77355072463769,68.1423611111111140.5338766887389,38.0902772847175
62,0.006202762446252716,74.70561594202898,68.1423611111111140.60371039882854,38.18616134402807
63,0.006081581460593711,74.68297101449275,68.6631944444444440.433772073266496,38.34582799908471
64,0.006059939914155072,74.54710144927536,68.4027777777777940.38076853969761,38.02662393681455
65,0.0060717078159698975,74.66032608695652,68.7540.541225986459395,38.651211575487096
66,0.0060042871263025,74.66032608695652,68.0555555555555640.603497009755365,38.18551708636437
67,0.005962211867464889,73.46014492753623,67.9687539.33018270620239,37.60116517076406
68,0.0060048942120385545,74.66032608695652,68.3159722222222140.24825155605939,38.139880952303095
69,0.005941947053103793,74.50181159420289,68.2291666666666640.5188101834138,38.259154788867946
70,0.005948642809985429,74.32065217391305,67.5347222222222140.51716967242361,38.16868826478583
71,0.0061916501818721605,74.61503623188406,68.6631944444444440.437612392027134,38.23967630768422
72,0.006004086807438477,74.63768115942028,68.2291666666666640.57739460935487,38.259154788867946
73,0.006054662912401117,74.7961956521739,68.7540.49899230721672,38.45350386349697
74,0.006020345299152144,74.68297101449275,68.4895833333333440.47293687832468,38.09742841425271
75,0.006030676963267033,74.36594202898551,68.4895833333333440.34235801888849,38.27153379403282
76,0.006046423963403396,74.32065217391305,68.4895833333333440.1091414251982,38.155551315000544
77,0.006430312984313143,74.68297101449275,68.6631944444444440.62324517231657,38.50145355043155
78,0.006013303680992476,74.68297101449275,68.5763888888888940.507996239214684,38.51442033115967
79,0.005863045416533346,74.72826086956522,68.4895833333333440.47382993718492,38.30679511016816
80,0.005868276280686464,74.66032608695652,68.3159722222222140.40091491584107,38.01331687089925
81,0.006087226176841012,74.81884057971014,67.9687540.59743964335293,38.16140776691142
82,0.006290840618414796,74.32065217391305,68.4027777777777940.52357632212061,38.754290182821094
83,0.0058926755031459815,74.5697463768116,68.0555555555555640.635311918041204,38.42497985255598
84,0.0060500511703253015,73.50543478260869,68.4027777777777939.336532628907364,37.73389570544651
85,0.005998063771059271,74.50181159420289,67.9687540.61561029963771,38.52059287785292
86,0.005954177580657735,74.5697463768116,68.3159722222222140.546521518268165,38.48146714818274
87,0.0058442468999942215,73.93568840579711,67.0138888888888940.494584433723006,38.27368189556877
88,0.005990047492667364,74.61503623188406,68.2291666666666640.63195116051951,38.358027829107755
89,0.00601403432275919,74.45652173913044,68.3159722222222140.25885159514605,37.95602972630555
90,0.006027098861202857,74.77355072463769,68.4027777777777940.5338766887389,38.10586374413233
91,0.006025406094071627,74.68297101449275,68.4895833333333440.45042299130268,38.319477751053846
92,0.005938051604793008,74.66032608695652,68.5763888888888940.45790098117084,38.331199665154394
93,0.0059771003537938535,74.59239130434783,68.4895833333333440.5662368188446,38.4407528518215
94,0.005942114086789237,74.66032608695652,68.5763888888888940.45660768172116,38.331199665154394
95,0.005940705927056419,74.54710144927536,68.3159722222222140.15643170647235,37.92335115856885
96,0.005955475470431893,74.77355072463769,68.4027777777777940.56465275810705,38.307736114245586
97,0.005957827870038318,74.45652173913044,68.6631944444444440.29163662321764,38.28623470318302
98,0.0062048220537486804,74.47916666666666,68.6631944444444440.21045693190884,38.1031757183242
99,0.0058963688638481275,74.61503623188406,68.4027777777777940.445144605794354,38.259525712684685
