Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.02002228833359387,42.73097826086957,37.84722222222222,33.21170991473008,32.31178641873739
2,0.017756619672508658,56.997282608695656,53.99305555555556,35.30692644671164,35.11362795162339
3,0.01570704657205412,67.07427536231883,63.71527777777778,40.186610077975516,42.647700126129386
4,0.01415535686051048,68.36503623188406,63.71527777777778,45.946735129890484,43.578980700216505
5,0.01274827811064576,71.35416666666666,66.84027777777779,50.93883989075415,49.11752808764997
6,0.01206865846619051,70.5163043478261,64.67013888888889,51.23457621563923,48.57684607836823
7,0.011490249789493222,72.32789855072464,67.44791666666666,54.71266191428954,52.51250255620372
8,0.011398620131800308,74.7961956521739,69.96527777777779,54.8237103665739,52.77777777763701
9,0.010690681690966503,76.60778985507247,71.52777777777779,63.255734465136115,58.698261375446116
10,0.010496873562211404,74.32065217391305,68.57638888888889,60.34424195026019,57.02451836189073
11,0.010459354118291223,74.11684782608695,67.10069444444444,63.0157063715364,58.794408048931835
12,0.010312940723900398,79.64221014492753,76.04166666666666,73.49566419463187,74.64342399481004
13,0.010176647191578701,78.66847826086956,73.87152777777779,73.88649948525988,73.25211509352947
14,0.009420633998953017,80.57065217391305,74.91319444444444,76.10683882892849,74.80405711346482
15,0.009374180414281123,80.97826086956522,76.82291666666666,75.44883218714638,75.28321825962989
16,0.0088626879218737,80.27626811594203,75.43402777777779,74.55897753237744,73.9662028740532
17,0.008767355899271016,82.35960144927536,77.34375,78.79094569618967,78.11611024131412
18,0.00871908192810501,81.83876811594203,77.34375,77.69329747811024,77.89333233571807
19,0.008497357368469238,83.87681159420289,78.03819444444444,80.48293120039925,79.02434757884036
20,0.008393341007853296,84.01268115942028,78.99305555555556,79.58009399244293,78.85684546284108
21,0.008418079830986113,83.51449275362319,79.94791666666666,78.67607618289344,80.43368616176242
22,0.008088063534031648,84.23913043478261,78.125,80.56635767840118,79.51299921830835
23,0.00799249258749426,85.68840579710145,80.55555555555556,82.42110884636334,81.8428493561735
24,0.008381073049838995,85.66576086956522,80.29513888888889,82.68465017879362,82.46643703408809
25,0.008049002134067874,85.9375,81.94444444444444,83.30061616710512,83.91171922916398
26,0.008020392027500023,86.95652173913044,81.33680555555556,84.64131104107373,83.43440746800368
27,0.008129339484202545,87.16032608695652,81.85763888888889,84.61848972141972,83.66172528563912
28,0.007977513731290834,87.34148550724638,82.11805555555556,85.10827244598227,83.96209387163682
29,0.00815273354924348,87.20561594202898,82.63888888888889,84.71905629096011,85.41823981743664
30,0.007740728761983727,87.43206521739131,82.11805555555556,85.61528099992611,85.12756300001494
31,0.007619547236823467,87.20561594202898,81.77083333333334,85.3218670750102,83.3802149860801
32,0.007882250901431145,87.68115942028986,82.37847222222221,86.43073133419705,85.73713723099813
33,0.007385335514350947,87.90760869565217,82.37847222222221,86.190836403512,84.93799542349653
34,0.007623134459190473,87.40942028985508,82.8125,86.14082648160823,85.48757902970347
35,0.007555227340852089,87.56793478260869,82.29166666666666,86.24294855483906,84.89051768913785
36,0.007183472734323671,88.17934782608695,82.63888888888889,88.02681960086966,85.83077439383555
37,0.008245334589186335,86.23188405797102,82.03125,87.18427624912198,86.39954574713329
38,0.00794578189291504,86.59420289855072,81.59722222222221,85.67962051413423,85.20655544627263
39,0.007905749581911278,87.72644927536231,83.42013888888889,86.99964164763361,86.78745588711871
40,0.0076224411352034775,87.9302536231884,82.55208333333334,86.54044019410803,85.36496457508964
41,0.007496530983996544,87.65851449275362,82.55208333333334,87.26228792967359,85.7547961215904
42,0.007289386896448983,87.18297101449275,82.72569444444444,86.15126873501674,86.3245488861177
43,0.007279301058811731,88.08876811594203,83.42013888888889,86.56852633676277,86.43103832531393
44,0.006992368681457041,88.83605072463769,84.11458333333334,89.32677932314263,88.6901615575985
45,0.007184662102396394,87.40942028985508,82.20486111111111,85.66501204310289,84.73434097273072
46,0.007275614515288394,88.54166666666666,84.54861111111111,87.66650986969135,89.10651883091634
47,0.007144293443092395,88.40579710144928,83.33333333333334,89.53498073364779,88.4386837713166
48,0.00721660822862119,88.76811594202898,83.85416666666666,90.48975714671623,89.31436043298815
49,0.007170957503763499,88.38315217391305,83.94097222222221,88.01513089249126,88.19081693031221
50,0.007179601283574957,88.90398550724638,84.02777777777779,89.45071017356072,88.18053507019066
51,0.007015707181283469,89.10778985507247,83.94097222222221,88.20469025826385,87.37222675758373
52,0.007341398511809236,89.47010869565217,83.94097222222221,90.18373163936474,89.02807547529198
53,0.007098891790256273,89.0625,83.33333333333334,89.12956900355424,87.3637666260522
54,0.006955743525740643,89.08514492753623,83.50694444444444,88.23068257347086,87.3061948899948
55,0.007046592118787066,88.8586956521739,83.24652777777779,88.79282231348546,87.91922416866538
56,0.006640452304283049,89.37952898550725,84.375,89.9870426396226,89.67292186055413
57,0.006912747242656134,88.29257246376811,82.37847222222221,88.71404300980437,86.81262847537565
58,0.00697456379476542,89.10778985507247,82.8125,90.32838748520136,88.12106991619947
59,0.006928144034773358,88.6322463768116,83.85416666666666,89.28200252780805,88.54714172348575
60,0.00702233629268752,88.45108695652173,82.55208333333334,88.35880880540161,86.5203880524135
61,0.006995616154617175,88.31521739130434,83.94097222222221,88.28985312100657,88.64220803977177
62,0.007216811398646899,88.58695652173914,82.55208333333334,87.46236187005643,86.1455926361246
63,0.006810849199564931,88.79076086956522,82.29166666666666,88.97234387617395,86.63150278840018
64,0.006863176884124521,88.33786231884058,83.07291666666666,88.01921523234846,87.05096772589818
65,0.007038237436526856,88.74547101449275,83.59375,89.71750053657595,87.76026424501677
66,0.007165264048016913,88.40579710144928,83.85416666666666,88.336721078878,88.14771659207663
67,0.007710771104209911,88.26992753623189,82.98611111111111,87.46297681764594,86.3077582286416
68,0.0074393139976246655,87.95289855072464,81.85763888888889,88.6652348857308,86.18134168520946
69,0.007066819656343224,88.81340579710145,82.46527777777779,89.41694518492609,86.80450474055014
70,0.007162739667020513,89.2663043478261,83.59375,90.63827741040299,88.80395687066786
71,0.006986875384089927,89.37952898550725,83.42013888888889,90.63424782222485,88.59704762945435
72,0.006789482983151889,87.79438405797102,81.68402777777779,87.61871094501306,86.22761707676048
73,0.007427349375897214,88.72282608695652,82.46527777777779,88.8080247648649,86.93714724985188
74,0.008072086586851684,87.25090579710145,82.55208333333334,87.83371971722318,87.01386788737416
75,0.007725421042206307,87.0697463768116,82.11805555555556,88.48272310873016,87.07823399044521
76,0.007092374430732045,87.0697463768116,82.11805555555556,87.56001154066372,86.15011880429545
77,0.007200716840193754,87.77173913043478,82.63888888888889,89.18915870747968,88.67391298326244
78,0.007119980655221301,86.48097826086956,81.42361111111111,86.30748341024925,84.94778679437812
79,0.007137010367390871,87.43206521739131,81.94444444444444,88.12218267125265,87.07602477093013
80,0.007768245367802796,87.47735507246377,82.29166666666666,88.36358287698819,86.20738867557651
81,0.007464117752123491,88.40579710144928,82.29166666666666,89.62293489519467,87.5170600909827
82,0.006985183788154456,87.74909420289855,81.85763888888889,88.26587856234087,86.37183233622365
83,0.0071233684499257205,88.38315217391305,83.33333333333334,90.49041195717335,88.84967419081306
84,0.007232648171108868,88.83605072463769,83.85416666666666,89.95899568401013,89.46139092458928
85,0.007145434710189468,88.56431159420289,83.68055555555556,89.03781452804395,88.40860710896266
86,0.006830163112236315,88.83605072463769,83.68055555555556,90.22716394567655,88.44289099212081
87,0.007008727076510351,88.6322463768116,83.24652777777779,89.66919632075182,88.14623476829443
88,0.006810369678558722,88.60960144927536,82.55208333333334,88.58094671925237,86.10263022908725
89,0.006983864830514906,89.19836956521739,83.33333333333334,90.17030143746312,88.12025943952892
90,0.006857588299909499,89.01721014492753,81.33680555555556,90.04079593587227,86.08250202633782
91,0.006584812727382049,89.53804347826086,82.8125,91.72966563742034,89.05622407174299
92,0.0070153667252616635,88.74547101449275,82.29166666666666,89.10456533027525,85.84983212894562
93,0.006970890617556358,88.99456521739131,83.07291666666666,89.51592046120712,87.63753406348488
94,0.006854658719326355,89.58333333333334,83.85416666666666,90.06191043856292,88.49581335449056
95,0.006633715617012038,89.22101449275362,82.98611111111111,89.31971948935825,87.17393942285149
96,0.006685155084464225,89.74184782608695,83.15972222222221,91.11207902499152,88.0183881181026
97,0.006887281964013164,88.99456521739131,83.33333333333334,90.75998314915326,88.72897706545191
98,0.006561414595594327,89.24365942028986,83.68055555555556,90.78647439604927,88.2447977234094
99,0.006392272095358994,88.26992753623189,81.85763888888889,88.5897273258911,85.34542130037704
100,0.006886357047162288,88.79076086956522,81.85763888888889,88.65331246427866,85.49761006543542
