Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.02018032774096995,40.67028985507246,35.50347222222222,10.288725939502683,9.363553113544539
2,0.018680372443579403,50.158514492753625,45.3125,24.767999696081727,23.546121429642362
3,0.017224427213590153,57.63134057971014,54.079861111111114,29.20277525709488,28.56792923864618
4,0.01581257020356347,63.13405797101449,60.06944444444444,33.64213127097,33.0482288538698
5,0.013623643164564775,60.824275362318836,56.59722222222222,49.57356440770564,47.72643814010608
6,0.012643058962717064,73.36956521739131,70.22569444444444,52.920381838155436,52.21595778137712
7,0.011348385169187016,76.3586956521739,71.52777777777779,55.72914392482523,53.469035342423574
8,0.010711030175825743,76.58514492753623,71.96180555555556,56.294024270377776,54.09249122721711
9,0.010236272596908643,77.89855072463769,72.22222222222221,57.05310080974544,54.62190106562416
10,0.009082671661206498,84.26177536231883,79.42708333333334,79.60872055037683,80.62079686750123
11,0.008779290909891714,82.69927536231883,78.38541666666666,79.41236995023893,80.47887118095453
12,0.008112713257508142,85.19021739130434,80.29513888888889,80.97573100095751,81.11266575075129
13,0.007903266435200527,84.85054347826086,80.03472222222221,81.84136756874034,81.24676357777355
14,0.007830736375013476,85.9375,79.94791666666666,82.0328994738174,81.49882773804565
15,0.007417057102202932,84.85054347826086,79.60069444444444,80.86978048914877,80.4459571175133
16,0.007494756427792427,86.48097826086956,80.81597222222221,82.28810776961485,81.56679279786799
17,0.0066068654693833846,85.66576086956522,78.90625,81.2484947157767,79.97889366470925
18,0.00703329866791296,87.45471014492753,80.81597222222221,83.7024067261671,82.63520933354793
19,0.006741348493547203,85.68840579710145,79.42708333333334,82.88726932378859,81.1014017185885
20,0.006805395480419495,87.22826086956522,80.98958333333334,83.20180202718895,82.71237555197072
21,0.006945952175545321,86.11865942028986,80.46875,82.48258409113258,82.05979777649137
22,0.006831618871003744,87.81702898550725,82.03125,84.97652006794102,84.29110587900153
23,0.006288472918143085,87.34148550724638,81.42361111111111,84.5107525048299,83.61517952909882
24,0.006304096437369215,87.74909420289855,81.42361111111111,83.67538210505475,83.29126721067894
25,0.006466876380794317,87.25090579710145,82.03125,84.07784810392592,84.04049006475206
26,0.00630199350245932,87.99818840579711,82.8125,85.13606223173296,85.10069912351874
27,0.0062174872007804876,87.34148550724638,82.20486111111111,84.08620733288298,84.61428569696395
28,0.006010656710287281,87.54528985507247,82.46527777777779,84.31598519161419,83.9433658048184
29,0.006139804883138725,87.45471014492753,81.51041666666666,85.1905221188986,84.26157617131362
30,0.006435805134386453,88.45108695652173,83.94097222222221,87.00760219318767,89.34790214462014
31,0.0061481497041355245,88.6322463768116,83.15972222222221,86.56687685021754,86.26957916931998
32,0.005986477329466564,87.22826086956522,81.85763888888889,84.11198408133947,83.41464575630211
33,0.005771850233199288,88.11141304347827,82.8125,85.41893284218283,86.41311872333847
34,0.005534319912179908,88.83605072463769,83.42013888888889,87.36575896909878,87.67809945809745
35,0.006334056638993876,87.45471014492753,81.85763888888889,83.52391374910624,83.14196911861448
36,0.005809702417931897,88.90398550724638,82.8125,86.30229989959861,85.41129798235752
37,0.005623726793978872,88.8586956521739,83.68055555555556,85.82185192139072,86.08240019419205
38,0.005680889645838934,88.83605072463769,83.33333333333334,87.99696240476916,88.29123249170449
39,0.00608583426019339,88.29257246376811,82.98611111111111,89.04090111085964,88.40881525490157
40,0.005631213866030809,89.69655797101449,84.02777777777779,88.90323992446277,88.55336626910861
41,0.0057307263250666735,89.08514492753623,82.29166666666666,90.60711057114479,89.31127736363766
42,0.005672746086126069,89.74184782608695,84.63541666666666,88.36799722999898,89.24331608375331
43,0.005710360393488112,89.0625,83.42013888888889,87.15062713013667,86.27223977815747
44,0.005401381538151384,90.03623188405797,83.85416666666666,89.48522490934037,88.56195412868135
45,0.005427966927247349,89.01721014492753,82.98611111111111,88.12548692646625,86.00924797744133
46,0.005211159378617975,90.26268115942028,83.94097222222221,89.20194035052435,87.66550645300971
47,0.005510877804210927,89.44746376811594,83.59375,89.73909668353382,88.78841085628035
48,0.005382313759268478,89.10778985507247,83.33333333333334,88.69969497450825,87.91129818090697
49,0.0053330040395970085,90.1947463768116,83.33333333333334,91.22719892766892,88.99674003426232
50,0.005221949659772798,90.14945652173914,83.68055555555556,88.67562928213968,87.48483558165454
51,0.005538887613197732,90.30797101449275,83.94097222222221,90.8130136453731,89.22731869969756
52,0.005263772599337628,90.39855072463769,83.85416666666666,90.32994837374554,88.47965357033316
53,0.005256067985356346,90.96467391304348,83.76736111111111,91.36886030569109,88.38541666611339
54,0.005116215540825173,90.80615942028986,83.59375,90.63055972511972,87.40823237038927
55,0.00515393515166124,90.46648550724638,83.85416666666666,90.67977663426309,88.21672038330578
56,0.005836795325758914,89.51539855072464,81.85763888888889,90.6697733361546,87.69706726017297
57,0.005168322931316115,90.53442028985508,84.02777777777779,90.85363868220013,88.11997484286542
58,0.005421235153535218,90.4211956521739,83.50694444444444,90.39259729085097,87.69721902630327
59,0.004844605956844624,91.14583333333334,82.46527777777779,92.43086588669702,87.87907031846376
60,0.005061306851539559,88.26992753623189,81.94444444444444,88.53474917392889,85.1885725805127
