Epoch,Loss,Training,Testing
1,0.01982536840941467,40.67028985507246,35.5034722222222210.288725939502683,9.363553113544539
2,0.018294412045168504,44.180253623188406,42.8819444444444423.08332430788306,23.458089374551736
3,0.016744800369527555,55.84239130434783,54.86111111111111428.557404005875338,29.191753574830404
4,0.01528034491018895,65.89673913043478,62.32638888888888634.59770432329471,33.816429241596936
5,0.013877598013930317,68.93115942028986,65.4513888888888935.80152671753998,35.28186407549507
6,0.011799082931687698,75.65670289855072,71.5277777777777954.15437883003522,52.96246916080069
7,0.011051881611074033,75.4302536231884,71.2673611111111155.61787325165945,53.87053247444902
8,0.010064225483388665,80.70652173913044,74.3923611111111158.435101818500904,55.38740330782459
9,0.009348402190765692,81.34057971014492,75.4340277777777958.67339664088915,56.08329979007007
10,0.008947128609273545,82.51811594202898,76.1284722222222159.84679236468015,56.97180161704439
11,0.008967314055488266,83.85416666666666,77.4305555555555661.38793485683202,58.54722010635485
12,0.007762598742813718,82.8125,75.8680555555555661.17586871900448,57.61230147890984
13,0.007820099612696252,83.17481884057972,76.562562.130189386720616,59.16649755279393
14,0.0070841184020807284,84.26177536231883,77.7777777777777963.28217485465446,60.70159633503109
15,0.007092197477735586,83.62771739130434,76.9097222222222164.23967122511334,62.52896163353472
16,0.00701185537111202,84.62409420289855,77.0833333333333464.25161702845979,60.794397174917634
17,0.006642551339759836,83.03894927536231,77.0833333333333462.24352465905205,60.03070271036264
18,0.006555119913505044,85.57518115942028,78.9062566.57450837322256,64.55011542872448
19,0.006233761249251807,85.7336956521739,78.2986111111111165.66971197375535,63.077884224222814
20,0.005763992363301906,85.98278985507247,78.3854166666666665.80689542362725,63.09202700016745
21,0.005846018488941446,86.1413043478261,78.9062566.37264650775025,63.81499658857215
22,0.005762480824202381,87.11503623188406,79.1666666666666666.65226992675962,63.23754962083753
23,0.005776810110653354,86.02807971014492,78.4722222222222165.18520221089497,61.81047531063024
24,0.00580810480021234,87.34148550724638,79.1666666666666666.31718776815974,62.916587454673554
25,0.005483338778358769,87.2961956521739,80.0347222222222166.4976263631732,64.17259820270303
26,0.005065149015565185,87.83967391304348,79.4270833333333467.29585203991017,63.44482922867027
27,0.005409729835175244,87.81702898550725,79.1666666666666667.65848840509274,64.34586058367894
28,0.005227709084913121,88.42844202898551,80.2951388888888966.76905094030508,63.30602819279159
29,0.005159559269545823,88.79076086956522,80.5555555555555667.42763255068549,63.80315945548964
30,0.005165426280796801,88.79076086956522,80.4687567.9523967261568,64.4261532933352
31,0.00479149488914898,88.58695652173914,80.4687567.92266242975083,65.36953377134923
32,0.004583374324820656,88.26992753623189,79.7743055555555668.22167790776064,65.19112929936884
33,0.005277477249188996,88.11141304347827,80.2083333333333467.35878255746867,64.04097605181238
