Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.020876452067267664,40.67028985507246,35.50347222222222,10.288725939502683,9.363553113544539
2,0.018197459531529687,62.3641304347826,59.375,32.15334138071205,31.917928461645424
3,0.016163187178311056,65.37590579710145,62.58680555555556,33.685010899767946,33.393680052601994
4,0.01459509373312145,68.93115942028986,64.58333333333334,36.04242741161742,35.374149659794185
5,0.013520473575067565,71.12771739130434,66.75347222222221,37.39901816914652,36.484134433800996
6,0.01236607381556692,71.17300724637681,66.23263888888889,36.022857830692224,34.833364683057134
7,0.011847340219289638,72.57699275362319,67.70833333333334,38.53023657680528,37.38711198832662
8,0.011422110972439446,72.71286231884058,67.88194444444444,37.571450981385425,36.509680635607516
9,0.01104436872149694,73.34692028985508,67.96875,38.80206665526147,37.32531055893279
10,0.010775405527745552,72.57699275362319,66.66666666666666,38.07990137897094,36.161625485843025
11,0.010418092297589856,73.79981884057972,68.66319444444444,38.81300499766894,37.33747323333277
12,0.01040883375951503,73.59601449275362,67.88194444444444,38.72154254691078,37.19698618488094
13,0.010006135935689418,82.17844202898551,76.12847222222221,59.29489894844927,57.06568648947734
14,0.009350177607440162,81.8161231884058,75.86805555555556,59.17694616132047,56.69828229244855
15,0.009217601552892453,80.97826086956522,75.17361111111111,59.424685224033404,56.664237010025744
16,0.00861482673916218,83.40126811594203,76.90972222222221,60.47506603057944,57.61388127023746
17,0.008304685548862987,83.44655797101449,77.77777777777779,60.65433341433888,58.69820270298758
18,0.008092112265575052,84.10326086956522,77.17013888888889,62.82045320558316,59.58487654300857
19,0.007987238466739655,83.76358695652173,77.51736111111111,63.25722604680768,61.62634997832422
20,0.007571494095812797,84.01268115942028,77.25694444444444,61.50148674826183,58.42928641594178
21,0.00782868566245906,84.28442028985508,77.43055555555556,64.17794547038788,61.88401762845584
22,0.007326056666870274,84.69202898550725,77.86458333333334,63.677399844973,61.301336844149375
23,0.007474621025440782,84.69202898550725,78.03819444444444,64.35738736075972,62.28214712233541
24,0.0068427299095555035,84.23913043478261,77.86458333333334,64.51875670276031,62.90611883647276
25,0.006775262576931665,84.96376811594203,78.47222222222221,64.69778199692236,63.35382838129349
26,0.0069126823795814234,85.32608695652173,77.95138888888889,64.82738791685779,62.60351715292556
27,0.006883258633418,85.82427536231883,78.21180555555556,64.56844433727726,61.398676379690464
28,0.006729702249264957,85.5072463768116,78.38541666666666,65.4361156132428,63.09597431314966
29,0.006667321525671196,85.30344202898551,77.77777777777779,64.35325088972347,61.10724842257298
30,0.0066062349921705305,85.55253623188406,77.95138888888889,65.19249140104874,62.24583182237537
31,0.006689528882585459,84.75996376811594,77.77777777777779,65.09241493123727,62.570201370014765
32,0.006569467660801112,85.07699275362319,78.29861111111111,63.502274825162374,61.009792208986504
33,0.0067227609544364166,85.82427536231883,78.64583333333334,64.92235516680391,62.35814667471232
34,0.006399710994729419,85.34873188405797,78.90625,64.2754790258377,62.41099158902217
35,0.00634242080691536,85.23550724637681,77.86458333333334,64.46510350718944,61.94260879847436
36,0.006513411433569998,85.41666666666666,78.81944444444444,64.34410485155452,62.5042194090682
37,0.006457054145859536,85.71105072463769,78.73263888888889,65.4972149194842,63.28408377255796
38,0.006055531731365363,85.64311594202898,78.55902777777779,64.52367748162276,61.96918110309109
39,0.006551745852180624,85.41666666666666,78.21180555555556,65.29478119895444,62.800737168224686
40,0.006476836072453439,85.34873188405797,77.95138888888889,64.79632836389152,61.374345447455205
41,0.006451454232118198,86.00543478260869,78.64583333333334,65.91361236139204,63.84464847634385
42,0.006270748471771217,85.98278985507247,77.86458333333334,65.3124293778874,61.90195259722755
43,0.006491274935706399,86.34510869565217,79.07986111111111,65.24154178679863,62.77759976052789
44,0.006397617726452738,85.96014492753623,78.73263888888889,65.07078940631352,62.705647954368324
45,0.005989721210504431,85.12228260869566,77.77777777777779,63.57226438401258,60.63661387115893
46,0.005858481404952889,85.89221014492753,78.73263888888889,64.78236506825907,61.94237641985645
47,0.00615493372069052,86.59420289855072,79.07986111111111,66.38830652545361,63.517843099899565
48,0.005854505113403695,85.86956521739131,78.47222222222221,66.77315992558691,64.1783727897207
49,0.005957864713193516,86.5036231884058,78.38541666666666,65.6132832423622,62.628714813901055
50,0.00614680518847775,85.57518115942028,77.95138888888889,64.60926028836568,61.717028584543954
51,0.006034481929022713,85.7336956521739,79.77430555555556,65.24283796836296,63.51959620847391
52,0.005921051640312787,86.45833333333334,78.38541666666666,65.81604218681639,62.37426788874858
53,0.0061219746023279936,87.04710144927536,79.25347222222221,66.2449914599802,63.354073060560125
54,0.005638309096273865,86.00543478260869,78.81944444444444,65.97732207018122,63.15155366598583
55,0.00593287507319647,86.75271739130434,78.90625,66.04298239091439,62.68287836855354
56,0.005642517626039704,85.64311594202898,77.95138888888889,66.22462550416806,63.53908981184338
57,0.005774321097720117,86.97916666666666,78.64583333333334,66.81424456339332,63.28160265258154
58,0.005506426369127716,86.75271739130434,79.25347222222221,66.10638363600981,62.88981080625713
59,0.005739078523230924,90.53442028985508,83.85416666666666,88.04012327320494,87.48401701088243
60,0.005524953972380933,88.36050724637681,83.07291666666666,88.70958350156417,88.19866208409324
61,0.005582403685252236,90.26268115942028,83.07291666666666,88.1500024682104,86.05381051767289
62,0.005376076606622155,90.80615942028986,82.89930555555556,89.79321505455205,86.25669305144257
63,0.005158450915439756,91.16847826086956,83.15972222222221,90.34388421536812,86.75264995207732
64,0.005317165044253294,90.8288043478261,83.59375,89.83161560099673,87.27852512169157
65,0.005355660766909474,90.8288043478261,83.68055555555556,89.04851410107896,87.54253905869571
66,0.005159639283044966,90.89673913043478,84.375,90.73735102906643,88.65571873344908
67,0.005313768431435038,91.16847826086956,83.42013888888889,90.3179524858593,86.53040116403827
68,0.005389828781241348,91.21376811594203,83.76736111111111,89.92477294449408,87.70472693138694
69,0.005228714991828698,91.21376811594203,83.59375,89.29830196567123,86.02691922211963
70,0.005152720271666918,90.55706521739131,83.50694444444444,90.9291762404086,87.54618571904996
71,0.004840680914499911,91.10054347826086,83.68055555555556,91.677543197152,88.6079441497737
72,0.005295255263254907,91.37228260869566,84.02777777777779,91.53599208199445,87.68108843471177
73,0.005053188624483637,91.1911231884058,83.33333333333334,90.70644030948075,86.4425327665829
74,0.005027154795176714,90.80615942028986,82.8125,91.3936264725265,87.45166556012676
75,0.004959026527421175,91.68931159420289,83.68055555555556,91.08135376407,86.99585868778972
76,0.005072842199290487,91.10054347826086,84.20138888888889,91.10333770692792,87.93799304770941
77,0.00484999686506885,90.71557971014492,83.76736111111111,91.69748225014283,88.57185534535893
78,0.004696209649499898,92.21014492753623,83.50694444444444,92.08722879130335,87.50251395130137
79,0.004962037323430303,91.25905797101449,83.76736111111111,91.3040523556274,88.74090464222066
80,0.004590679864944612,91.00996376811594,82.8125,91.64245747125715,88.14949127549353
81,0.005020948586171095,91.48550724637681,83.94097222222221,90.95571585539051,88.08100185638993
82,0.004779994952143277,91.55344202898551,83.50694444444444,92.1659653894997,89.04996448281605
83,0.004927858846871597,91.84782608695652,83.85416666666666,91.15479229393605,88.32072065877504
84,0.004547207676878115,92.05163043478261,83.15972222222221,91.98008730108143,87.56614597813098
85,0.004660764893501533,92.23278985507247,83.15972222222221,92.20621382025865,87.88021850503864
86,0.004668206003802725,93.02536231884058,83.24652777777779,93.11521062213099,87.53170936529344
87,0.004707806532832049,91.96105072463769,82.46527777777779,91.54501643966633,86.11209498973558
88,0.004599864764512951,91.37228260869566,84.375,93.61905128923433,91.69571824373905
89,0.0051801269797149,92.45923913043478,83.59375,93.62410073657306,88.35621490255078
90,0.0047865235968044765,91.34963768115942,84.02777777777779,92.34946669970105,89.04015256874848
91,0.0048149417843379415,92.11956521739131,83.76736111111111,92.82764023559618,88.34253288881968
92,0.004444694387240764,91.80253623188406,83.33333333333334,93.60509597299189,90.01167249642374
93,0.004898748605569277,90.46648550724638,82.11805555555556,89.41982636199307,84.87473450925728
94,0.004988125852359532,92.00634057971014,84.28819444444444,92.91413294820413,89.79351839796138
95,0.004916461266570415,92.21014492753623,83.76736111111111,92.13543109428606,87.29216579108224
96,0.004678114304552922,92.14221014492753,83.07291666666666,93.52834267760194,88.74272785978768
97,0.004598864628212043,92.7536231884058,84.11458333333334,93.6731361359111,89.44019778902603
98,0.0045948813316829705,92.36865942028986,83.85416666666666,93.46008520495543,89.39842500819718
99,0.004429258928590691,91.9836956521739,82.63888888888889,91.98667933661953,86.80385739137742
100,0.004588045840562209,92.6177536231884,83.24652777777779,92.77103940029768,87.7534096979019
