Epoch,Loss,Training Accuracy,Testing Accuracy,Training Precision,Testing Precision
1,0.019484696996856676,37.90760869565217,39.58333333333333,14.633154826188,17.503156565453665
2,0.016995089683480267,57.9483695652174,56.33680555555556,39.82986784551783,39.66508630415211
3,0.011043300741206168,75.2038043478261,71.44097222222221,75.67976476449707,76.18056843220546
4,0.008493993024996505,80.63858695652173,75.52083333333334,82.43728550349432,79.73433765505926
5,0.007332643567423117,83.9447463768116,77.95138888888889,82.18523621347204,80.96431680745022
6,0.00648525866016568,86.54891304347827,80.64236111111111,87.20756341913759,85.7413880275961
7,0.006068098484295208,86.82065217391305,81.33680555555556,88.85644060109651,86.59282849742056
8,0.0057833922444736055,87.20561594202898,82.29166666666666,88.14932378245761,87.26660324221051
9,0.005147477094592795,80.48007246376811,73.4375,82.75804139655351,80.77496316394715
10,0.004924186847687423,89.03985507246377,82.72569444444444,91.33065532828451,89.25615754227039
11,0.004984947390970454,88.92663043478261,82.11805555555556,90.68708915524594,88.48727379234025
12,0.0046276393304660055,87.88496376811594,82.11805555555556,90.46814147616482,89.90615135622326
13,0.00435209998521206,90.48913043478261,84.80902777777779,90.82579650710984,90.26519521914432
14,0.0044153440576371085,89.58333333333334,83.24652777777779,90.10626475346231,88.36431118155872
15,0.0043504517183978,90.85144927536231,83.85416666666666,93.70096188446053,91.19241001418507
16,0.004110670533273659,88.88134057971014,82.89930555555556,88.27506747942438,85.6554392582531
17,0.004349013513908487,91.68931159420289,85.06944444444444,93.14120131792569,91.2583505801741
18,0.0038317757241229855,88.83605072463769,82.03125,93.25206675903281,91.1105096021396
19,0.003691261311554231,89.65126811594203,83.33333333333334,92.98237082055698,91.12664956625055
20,0.0037643499330956382,91.89311594202898,84.98263888888889,93.89612953421185,91.45902508186424
21,0.003504879752175727,91.64402173913044,84.63541666666666,93.81456119245375,91.30028990477642
22,0.0034005205880246175,90.85144927536231,84.63541666666666,91.85376796253006,88.98854915459762
23,0.003738289813346321,91.87047101449275,84.80902777777779,93.93805308963927,91.34109678427663
24,0.0033946580165616423,92.00634057971014,84.80902777777779,92.13017575924863,89.34085161542869
25,0.0034634986624299223,91.96105072463769,84.63541666666666,93.29639252194843,90.53022846047467
26,0.00315868329704081,91.41757246376811,85.15625,93.15422693490962,91.62504025692088
27,0.003311679422800744,92.09692028985508,84.89583333333334,94.05689599457638,90.38820042772042
28,0.003123479303720345,93.09329710144928,85.41666666666666,94.46413139869885,91.6210094453546
29,0.003110489701317823,92.21014492753623,84.98263888888889,92.81865278147887,90.18801219688915
30,0.002991752186832791,91.84782608695652,84.11458333333334,92.85502136759231,89.38177097266956
31,0.0031612707680991,93.27445652173914,84.02777777777779,94.47849340368064,89.02952980233943
32,0.002963976460781314,92.77626811594203,84.98263888888889,95.12883691506232,90.82884324450168
33,0.002843335902576158,93.29710144927536,83.68055555555556,95.04877574118704,89.1324642336753
34,0.0028094400606509962,93.52355072463769,84.375,95.2564302167972,90.09352681296122
35,0.0029650851759776184,91.84782608695652,83.76736111111111,94.83280477321865,90.67353552585968
36,0.0029217041772811596,92.93478260869566,84.375,93.73951054259891,88.9717358239028
37,0.0026586818599289813,93.88586956521739,86.19791666666666,94.80825037155682,91.76766731403556
38,0.002522040979713065,91.87047101449275,84.375,93.94177404434257,90.03880653218607
39,0.00275609391638164,92.70833333333334,84.54861111111111,95.61772399579044,90.76887746906507
40,0.0026363169528564436,92.66304347826086,85.24305555555556,93.68555493563937,89.85869949841569
41,0.0024298125652615133,94.02173913043478,84.98263888888889,94.85817857751397,90.28521767571128
42,0.0026412299901629457,94.02173913043478,85.15625,94.80594934618706,89.33424569147674
43,0.002492745054371853,94.11231884057972,85.32986111111111,95.1125292233329,89.75694465046547
44,0.0025081114406423433,94.63315217391305,86.11111111111111,96.18849929820391,92.2550520653532
45,0.002197925458507703,93.88586956521739,83.76736111111111,95.28188963016883,88.82648371929548
46,0.0022660485314295775,95.19927536231883,85.41666666666666,96.79364352348242,91.53985826481316
47,0.002257103779063817,93.88586956521739,84.375,95.57730049570972,89.90461286805947
48,0.00214641556949598,94.42934782608695,85.41666666666666,94.95421170476762,89.71160641092139
49,0.002406912119965232,94.7463768115942,84.63541666666666,95.55790448142957,90.389540829731
50,0.0022089043452885038,94.33876811594203,85.15625,96.00692243549354,91.62035580450998
51,0.002386517628112263,94.90489130434783,85.41666666666666,95.96271825490415,90.60365236533592
52,0.00238623854633349,95.1086956521739,84.98263888888889,96.06085487587848,89.50309440587928
53,0.001876986799181177,95.3125,85.32986111111111,95.88032624397623,90.15032711567024
